Taxon	Pathway	KOs present (%)	Species within present KOs (% all species in this taxon)	KOs total	Species total
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__gnavus	ko00130	0.0	0.0	56.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__gnavus	ko00740	0.0	0.0	42.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea	ko00790	0.0	0.0	54.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea	ko00760	0.0	0.0	89.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea	ko00730	0.0	0.0	33.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea	ko00830	0.0	0.0	48.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea	ko00770	0.0	0.0	37.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea	ko00780	0.0	0.0	23.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea	ko00785	0.0	0.0	4.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea	ko00750	0.0	0.0	23.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea	ko00130	0.0	0.0	56.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Dorea	ko00740	0.0	0.0	42.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae	ko00790	0.0	0.0	54.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae	ko00760	0.0	0.0	89.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae	ko00730	0.0	0.0	33.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae	ko00830	0.0	0.0	48.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae	ko00770	0.0	0.0	37.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae	ko00780	0.0	0.0	23.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae	ko00785	0.0	0.0	4.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae	ko00750	0.0	0.0	23.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae	ko00130	0.0	0.0	56.0	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae	ko00740	0.0	0.0	42.0	0.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae	ko00790	18.5	73.33	54.0	3.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae	ko00760	11.2	96.67	89.0	3.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae	ko00730	33.3	54.55	33.0	3.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae	ko00830	0.0	0.0	48.0	3.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae	ko00770	32.4	88.89	37.0	3.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae	ko00780	52.2	52.78	23.0	3.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae	ko00785	50.0	100.0	4.0	3.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae	ko00750	21.7	86.67	23.0	3.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae	ko00130	19.6	60.61	56.0	3.0
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae	ko00740	11.9	80.0	42.0	3.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria	ko00790	53.7	37.46	54.0	87.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria	ko00760	39.3	33.5	89.0	87.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria	ko00730	69.7	40.18	33.0	87.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria	ko00830	10.4	18.62	48.0	87.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria	ko00770	59.5	55.02	37.0	87.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria	ko00780	60.9	59.2	23.0	87.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria	ko00785	75.0	62.07	4.0	87.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria	ko00750	39.1	38.06	23.0	87.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria	ko00130	48.2	34.44	56.0	87.0
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria	ko00740	38.1	33.05	42.0	87.0
